,Name,Code,ICAO
195,Air-Glaciers,,AGV
196,Air-Taxi Europe,,TWG
197,Air1Air,,INA
198,Air65 Aviation,,FGB
199,AirACT,9T,RUN
200,AirAsia,AK,AXM
201,AirAsia X,D7,XAX
202,AirBlue,PA,ABQ
203,AirBridgeCargo Airlines,RU,ABW
204,Airbus,,AIB
205,Airbus Beluga Transport,,BCO
206,Airbus Transport International,4Y,BGA
207,Aircalin,SB,ACI
208,Aircompany RusJet,,RSJ
209,AirConnect,KS,KON
210,Aircraft Management Group,,RVJ
211,Aireon Canada,,AEN
212,Airest,,AEG
213,AirExplore,ED,AXE
214,Airfast Indonesia,,AFE
215,AirGO Private Airline,,XGO
216,Airhub Airlines,RE,GJM
217,Airkenya Express,P2,XAK
218,Airlec Air Espace,,ARL
219,Airlift,,ALI
220,Airlift International,,AIR
221,Airlink,,JAR
222,Airlink,4Z,LNK
223,AirMaster,MR,RMX
224,Airmax,,MMX
225,AirNet,,USC
226,Airnorth,TL,ANO
227,Airpac Airlines,,APC
228,AirPink,,PNK
229,AirSERBIA,JU,ASL
230,AirSF Flight Services,,XSN
231,AirShare,,XSR
232,AirSial,PF,SIF
233,AirSmart,,XSM
234,AirSprint,,ASP
235,Airstream,,AQS
236,AirSWIFT,T6,ATX
237,AirTanker,9L,TOW
238,Airtask,,DCT
239,AirTraffic,,ATY
240,Airwaze,,WZE
241,Airwork,,AWK
242,AIS Airlines,,PNX
243,Aitheras Aviation Group,,PXG
244,AIX Connect,I5,IAD
245,AJet,VF,TKJ
246,Akasa Air,QP,AKJ
247,Al-Atheer Aviation,,ATE
248,Alante Air Charter,,SVL
249,Alaska Airlines,AS,ASA
250,Alaska Central Express,KO,AER
251,AlbaStar,,LAV
252,Albatros Airlines,G0,GAL
253,Albawings,2B,AWT
254,Albinati Aeronautics,,LUC
255,Albinati Aviation,,ULC
256,Alexandria Airlines,DQ,KHH
257,Alexjets San Marino,,AXJ
258,Alfa Airlines,5E,AAJ
259,Algonquin Airlink,,FSY
260,Alidaunia,D4,LID
261,Aliserio,,TJD
262,ALK Airlines,,VBB
263,Alkan Air,,ALN
264,Alkan Air,,AKN
265,All Nippon Airways,NH,ANA
266,Allegiant Air,G4,AAY
267,Alliance Air,9I,LLR
268,Alliance Airlines,QQ,UTY
269,Allied Air,4W,AJK
270,AlMasria Universal Airlines,UJ,LMU
271,Aloha Air Cargo,KH,AAH
272,AlpAvia,AL,APP
273,Alpha Aviation,,AAO
274,Alphaland Aviation,,BIC
275,AlphaSky,,JAG
276,Alpine Air Express,5A,AIP
277,Alpine Flightservice,,FSE
278,Alrosa,6R,DRU
279,Altagna,,AGH
280,Amakusa Airlines,MZ,AHX
281,AMC Airlines,,AMV
282,AMC Aviation,,AMQ
283,Amelia,8R,AIA
284,Amelia International,NL,AEH
285,American Air Charter,,GTW
286,American Airlines,AA,AAL
287,American Jet,,AJB
288,American Jet International,,SCM
289,Ameriflight,A8,AMF
290,Amerijet International,M6,AJT
291,Ameristar,7Z,AJI
292,AMREF Flying Doctors,,FDS
293,AMS Airlines,,GEO
294,ANA Wings,EH,AKX
295,Anap Jets,,AJP
296,Anderson Air,,ADS
297,Andes Lineas Aereas,O4,ANS
298,Angara Airlines,,AGU
299,Anguilla Air Services,Q3,AXL
300,Animawings,A2,AWG
301,Antonov Airlines,,ADB
302,APG Airlines,GP,RIV
303,Arajet,DM,DWI
304,Arc en Ciel,,JMS
305,Archer Air,,AXR
306,Arcus Air,,AZE
307,Argentina - Air Force,,FAG
308,Ariana Afghan Airlines,FG,AFG
309,Ariella,EL,RIE
310,Arik Air,W3,ARA
311,Arkhangelsk Airlines,,OAO
312,Arkia Israeli Airlines,IZ,AIZ
313,Armenia Airways,6A,AMW
314,Armenian Airlines,JI,AAG
315,Aruba Airlines,AG,ARU
316,ASAS Linhas Aereas,,CEU
317,Ascend Airways,,SYG
318,ASG Business Aviation,,ESW
319,Asia Cargo Airlines,GM,TMG
320,Asia Pacific Airlines,P9,MGE
321,Asia Sky Lines,,LIC
322,Asia Union Airlines,,AUV
323,Asian Express Airlines,RS,TXP
324,Asian Express General Aviation Wuxi,,WUA
325,Asiana Airlines,OZ,AAR
326,Asky Airlines,KP,SKK
327,ASL Airlines,,ABR
328,ASL Airlines Belgium,3V,TAY
329,ASL Airlines France,5O,FPO
330,ASL Airlines UK,,ABV
331,Asta Linhas Aereas,0A,SUL
332,Astonjet,,AJD
333,Astonjet,,ASJ
334,Astral Aviation,8V,ACP
335,ATA Airlines,I3,TBZ
336,ATI Jet,,CYO
337,Atlantic Airways,RC,FLI
338,Atlas Air,5Y,GTI
339,Atlas Air Service,,ATL
340,ATP Flight School,,CXK
341,ATR,,EVX
342,Atran,V8,VAS
343,Auckland Rescue Helicopter,,WPR
344,Auric Air,UI,AUK
345,Aurigny Air Services,GR,AUR
346,Aurora,HZ,SHU
347,Australia - Customs,,CUS
348,Australia - Federal Police,,FPL
349,Australia - Royal Australian Air Force,,ASY
350,Austria - Air Force,,ASF
351,Austrian Airlines,OS,AUA
352,Av8Jet,,AJO
353,AVA Airlines,,AXV
354,Avalair Aircraft Management,,ARR
355,Avanti Air,,ATV
356,Avcenter,,TTE
357,Avcon Jet,,AOJ
358,Avcon Jet Malta,,VCJ
359,Avcon Jet San Marino,,VAJ
360,Avelo Airlines,XP,VXP
361,Avia Traffic,YK,AVJ
362,Aviacon Zitotrans,ZR,AZS
363,Avianca,AV,AVA
364,Avianca Cargo,QT,TPA
365,Avianca Costa Rica,LR,LRC
366,Avianca Ecuador,2K,GLG
367,Avianca El Salvador,TA,TAI
368,Avianca Express,EX,AVR
369,Avianca Guatemala,GU,GUG
370,Aviastar,,VIT
371,Aviastar-TU,4B,TUP
372,Aviation Advisor,,LKF
373,Aviation Horizons,ZS,HZS
374,Aviator College,,WCP
375,Aviatsa,,VVT
376,Avincis,,INR
377,Avincis Aviation Italia,,ELH
378,Avincis Aviation Norway,,BNO
379,Avincis Aviation Portugal,,BBO
380,Avincis Aviation Sweden,,DFL
381,Avion Express,X9,NVD
382,Avion Express Malta,4X,MLH
383,Avionord,,VND
384,Avior Airlines,9V,ROI
385,Aviostart,,VSR
386,AWA,,WEY
387,Awesome Cargo,A7,WIN
388,AXIS Aviation,,BQA
389,Axis Aviation San Marino,,AXS
390,Azerbaijan Airlines,J2,AHY
391,Azimut,,MOM
392,Azimuth,A4,AZO
393,Azman Air,ZU,AZM
394,Azores Airlines,S4,RZO
395,Aztec Airways,AJ,AZY
396,Azul Conecta,2F,ACN
397,Azul Linhas Aereas,AD,AZU
398,Azur Air,ZF,AZV
399,B.J. Aviation,,JSG
400,BA CityFlyer,CJ,CFE
401,BA Euroflyer,A0,EFW
402,Babcock,,RHD
403,Babcock MCS France,,PTH
404,Backcountry Aviation,,SQH
405,Baden Aircraft Operations,,BAO
406,Badr Airlines,J4,BDR
407,BAe Systems,,BAE
408,BAe Systems Marine,,VSB
409,Bahamasair,UP,BHS
410,Bairline,,BRJ
411,Baker Aviation,,KOW
412,Bakhtar Afghan Airlines,BM,BFO
413,Bamboo Airways,QH,BAV
414,Bangkok Airways,PG,BKP
415,BankAir,,BKA
416,Bar XH Air,,BXH
417,Baron Aviation Services,,BVN
418,Bassaka Air,5B,BSX
419,Batik Air,ID,BTK
420,Batik Air Malaysia,OD,MXD
421,BBN Airlines,B5,BBT
422,BBN Airlines Indonesia,7B,BBL
423,Bearskin Airlines,JV,BLS
424,Bees Airlines,,BES
425,Beijing Airlines,,BJN
426,Bel Air Aviation,,BBX
427,Belavia,B2,BRU
428,Belgium - Air Force,,BAF
429,Belgium - Coast Guard,,BCG
430,Belgium - Gendarmerie,,GDB
431,Belgium - Navy,,NYB
432,Bemidji Airlines,CH,BMJ
433,Beond,B4,BYD
434,Bering Air,8E,BRG
435,Berjaya Air,J8,BVT
436,BermudAir,2T,BMA
437,Berniq Airways,NB,BNL
438,Berry Aviation,,BYA
439,Bestfly Aruba,,BFY
440,Bestfly Cabo Verde,3B,BCV
441,BH Air,8H,BGH
442,Bhutan Airlines,B3,BTN
443,Big Bend Community College,,BGB
444,Bighorn Airways,,BHR
445,Biman Bangladesh Airlines,BG,BBC
446,BinAir,,BID
447,Binani Air,,BGL
448,Binter Canarias,NT,IBB
449,Bioflight,,BIO
450,Blessings Aviation,,TJJ
451,Blue Air,0B,BLA
452,Blue Bird Aviation,,BLB
453,Blue Dart Aviation,BZ,BDA
454,Blue Islands,SI,BCI
455,Blue Square Aviation,,BSG
456,Bluebird Airways,BZ,BBG
457,Bluebird Aviation,,BBZ
458,Bluebird Nordic,BO,BBD
459,Bluesky Airways,,BSF
460,BlueSky Aviation,,SBK
461,Boeing,,BOE
462,Boliviana de Aviacion,OB,BOV
463,Bombardier,,BBA
464,Bonza,AB,BNZ
465,Bookajet,,BOO
466,Boutique Air,4B,BTQ
467,BRA,TF,BRX
468,Braathens International Airways,TT,BIX
469,Braspress Air Cargo,,BPC
470,Bravo Airways,,BAY
471,Brazil - Air Force,,BRS
472,Brazil - Army,,EXB
473,Brazil - Navy,,MBR
474,Breeze Airways,MX,MXY
475,Bridger Aerospace,,BGR
476,Bridges Air Cargo,5B,BRD
477,Brilliant Jet,,TXJ
478,Bristow Helicopters,,BHL
479,Bristow Nigeria,,BHN
480,Bristow Norway,,NOR
481,Bristow US,,BTZ
482,British Airways,BA,BAW
483,British Airways Shuttle,,SHT
484,British International Helicopters,,BRT
485,Bromma Air Maintenance,,CFL
486,Brussels Airlines,SN,BEL
487,Budapest Aircraft Service,RP,BPS
488,Buddha Air,U4,BHA
489,Budget Lines,BD,BGN
490,Buffalo Airways,J0,BFL
491,Bul Air,LB,BVL
492,Bulgaria - Air Force,,AFB
493,Bulgaria - Government,,BGF
494,Bulgaria Air,FB,LZB
495,Buraq Air,UZ,BRQ
496,Burkina Faso - Government,,BFA
497,Business Aviation Asia,UN,UNA
498,Business Wings,,JMP
499,Buzz,RR,RYS
500,BySky,,BYS
501,C&M Airways,,RWG
502,CAA,BU,DBP
503,Cabo Verde Airlines,VR,TCV
504,Caicos Express Airways,9Q,CXE
505,Calm Air,MO,CAV
506,Calstar,,CMD
507,Camair-Co,QC,CRC
508,Cambodia Airways,KR,KME
509,Cambodia Angkor Air,K6,KHV
510,Cambodia Bayon Airlines,BD,BYC
511,CAMEX Adria Airlines,,CMM
512,Camex Airlines,Z7,CMS
513,Canada - Coast Guard,,CTG
514,Canada - Department of Transport,,TGO
515,Canada - Ontario Ministry of Natural Resources,,ONT
516,Canada - Royal Canadian Air Force,,CFC
517,Canada - Royal Canadian Mounted Police,,SST
518,Canada - Saskatchewan Air Ambulance Service,,SLG
519,Canadian Airways Congo,,TWC
520,Canadian North,5T,AKT
521,Canair,,RSC
522,CanaryFly,PM,CNF
523,Canavia,,CNA
524,Canjet Airlines,C6,CJA
525,Canlink Aviation,,MFC
526,CanWest Air,,CWA
527,Cape Air,9K,KAP
528,Capital Air Ambulance,,EGL
529,Capital Airlines,JD,CBJ
530,Capital City Air Carriers,,CCQ
531,Cardiff Aviation Malta,,SGO
532,Cardig Air,7D,CAD
533,CareFlight,,CFH
534,Cargo Air,,CGF
535,Cargo Three,C3,CTW
536,Cargojet Airways,W8,CJT
537,Cargolux,CV,CLX
538,Cargolux Italia,C8,ICV
539,Caribbean Airlines,BW,BWA
540,Carlisle Air Group,,CCK
541,Carpatair,V3,KRP
542,Carson Air,,CRN
543,Caspian Airlines,RV,CPN
544,Castle Aviation,,CSJ
545,Cat Aviation,,CAZ
546,Cathay Pacific,CX,CPA
547,Catreus,,VCG
548,Cavok Air,,CVK
549,Cayman Airways,KX,CAY
550,CB SkyShare,,CBC
551,Cebgo,DG,SRQ
552,Cebu Pacific,5J,CEB
553,Ceiba Intercontinental,,CEL
554,CemAir,5Z,KEM
555,Centene Management Company,,TMP
556,Central Air Southwest,,CTL
557,Central Airlines,I9,HLF
558,Central Mountain Air,9M,GLR
559,Centreline,,CLF
560,Cerium Air,,CAQ
561,Chabahar Airlines,,IRU
562,Chair Airlines,GM,GSW
563,Chalair Aviation,CE,CLG
564,Challenge Air Cargo,X6,CHZ
565,Challenge Airlines BE,X7,CHG
